Iteration,Loss
10,2.2493432641029356
20,1.8847092390060425
30,1.6810642719268798
40,1.6999808430671692
50,1.6294030785560607
60,1.5762786149978638
70,1.5066974997520446
80,1.482383704185486
90,1.474631130695343
100,1.4939316391944886
110,1.5100806117057801
120,1.3524808824062347
130,1.53847496509552
140,1.4707561373710631
150,1.3850970983505249
160,1.4694530963897705
170,1.4758610129356384
180,1.4480544090270997
190,1.6506839632987975
200,1.4884278059005738
210,1.5147095918655396
220,1.5065231800079346
230,1.440407133102417
240,1.4221450686454773
250,1.4424188137054443
260,1.4287222504615784
270,1.4743404984474182
280,1.4205768585205079
290,1.5590290546417236
300,1.558919107913971
310,1.3365274667739868
320,1.460834801197052
330,1.4079208493232727
340,1.4249334931373596
350,1.4264468908309937
360,1.4757347583770752
370,1.4340299606323241
380,1.4057831168174744
390,1.4540677428245545
400,1.4110510230064393
410,1.46667720079422
420,1.4056878805160522
430,1.411197543144226
440,1.4264832496643067
450,1.3760102152824403
460,1.4108884572982787
470,1.4314178109169007
480,1.365727961063385
490,1.4050717115402223
500,1.4213915944099427
510,1.333802342414856
520,1.3994923114776612
530,1.3665108561515809
540,1.3712318658828735
550,1.4750779747962952
560,1.459359097480774
570,1.5039522767066955
580,1.3831289768218995
590,1.4068387150764465
600,1.5237457275390625
610,1.4630046248435975
620,1.4132094502449035
630,1.338904047012329
640,1.4896668910980224
650,1.4521788835525513
660,1.4670885682106019
670,1.3543059825897217
680,1.3931643843650818
690,1.5030128836631775
700,1.3916881203651428
710,1.4524999141693116
720,1.4192668080329895
730,1.3947532057762146
740,1.3795285940170288
750,1.5101296424865722
760,1.4483247876167298
770,1.4482353806495667
780,1.3976680397987367
790,1.4804309844970702
800,1.3703017711639405
810,1.3483360886573792
820,1.3584376096725463
830,1.4287984371185303
840,1.4698287010192872
850,1.4147895455360413
860,1.392435657978058
870,1.4186871528625489
880,1.3858478546142579
890,1.4408965587615967
900,1.3931490063667298
910,1.4576557755470276
920,1.4071268081665038
930,1.4547706961631774
940,1.4438432931900025
950,1.4098753452301025
960,1.436185395717621
970,1.3759424448013307
980,1.3949121356010437
990,1.4073164224624635
1000,1.3716800808906555
1010,1.3170214772224427
1020,1.426375687122345
1030,1.4760550022125245
1040,1.4738258481025697
1050,1.444391131401062
1060,1.3611507534980773
1070,1.319384789466858
1080,1.4626359939575195
1090,1.3700284957885742
1100,1.379250419139862
1110,1.3782662987709045
1120,1.3678216934204102
1130,1.4629210233688354
1140,1.3739668607711792
1150,1.333091640472412
1160,1.4023825168609618
1170,1.3279245018959045
1180,1.4313648343086243
1190,1.4462597012519836
1200,1.4265792608261108
1210,1.3141695499420165
1220,1.4112047672271728
1230,1.4337769746780396
1240,1.4231271743774414
1250,1.3596251964569093
1260,1.330936598777771
1270,1.3498864889144897
1280,1.3168623208999635
1290,1.307749605178833
1300,1.3411824226379394
1310,1.3715104818344117
1320,1.4432206630706788
1330,1.4482374429702758
1340,1.3881738662719727
1350,1.3131979703903198
1360,1.4229115128517151
1370,1.4194777131080627
1380,1.4199450850486754
1390,1.3907185792922974
1400,1.366498100757599
1410,1.4413297533988954
1420,1.3605681657791138
1430,1.392806839942932
1440,1.383323061466217
1450,1.4293483257293702
1460,1.3528470754623414
1470,1.3103659927845002
1480,1.3809704184532166
1490,1.3686006665229797
1500,1.5008003830909729
1510,1.3822996139526367
1520,1.3546679496765137
1530,1.372831892967224
1540,1.3244362711906432
1550,1.3743059158325195
1560,1.419146478176117
1570,1.3670411586761475
1580,1.3899875640869142
1590,1.3779197692871095
1600,1.3685028076171875
1610,1.4340827345848084
1620,1.366837251186371
1630,1.3394096612930297
1640,1.3605522751808166
1650,1.3975675582885743
1660,1.358030652999878
1670,1.477962577342987
1680,1.3659839510917664
1690,1.379053819179535
1700,1.3586444139480591
1710,1.3881515264511108
1720,1.367821842432022
1730,1.338172936439514
1740,1.4753575325012207
1750,1.3900075912475587
1760,1.4424782276153565
1770,1.5117025017738341
1780,1.430926787853241
1790,1.5022826194763184
1800,1.3934589505195618
1810,1.323769199848175
1820,1.3563146710395813
1830,1.3716627597808837
1840,1.4304391026496888
1850,1.4173002243041992
1860,1.4968567728996276
1870,1.469717514514923
1880,1.4402671694755553
1890,1.3577010750770568
1900,1.412761926651001
1910,1.4212977528572082
1920,1.4789076089859008
1930,1.3431784629821777
1940,1.394349503517151
1950,1.3700382351875304
1960,1.3132100462913514
1970,1.3649251937866211
1980,1.3848876714706422
1990,1.3660975813865661
2000,1.3416934967041017
2010,1.3396727919578553
2020,1.391893780231476
2030,1.3443549156188965
2040,1.3009738683700562
2050,1.443024742603302
2060,1.3943758368492127
2070,1.3521597266197205
2080,1.4452667236328125
2090,1.366741156578064
2100,1.4688174247741699
2110,1.4027845978736877
2120,1.4256882071495056
2130,1.4306815147399903
2140,1.3773496866226196
2150,1.3818103671073914
2160,1.4084436774253846
2170,1.3855660676956176
2180,1.3651001691818236
2190,1.326992928981781
2200,1.3861287653446197
2210,1.5126803994178772
2220,1.326439094543457
2230,1.3564982891082764
2240,1.4056681632995605
2250,1.3366325497627258
2260,1.4245657444000244
2270,1.447565758228302
2280,1.36803537607193
2290,1.3628361463546752
2300,1.360129463672638
2310,1.3494585156440735
2320,1.429073119163513
2330,1.4352738857269287
2340,1.3791661620140077
2350,1.375418770313263
2360,1.3215466737747192
2370,1.4037679314613343
2380,1.3836475253105163
2390,1.3314327239990233
2400,1.438080358505249
2410,1.3590644598007202
2420,1.360083281993866
2430,1.2806635737419128
2440,1.4222588181495666
2450,1.342552697658539
2460,1.3462652325630189
2470,1.431706166267395
2480,1.419713842868805
2490,1.3979424834251404
2500,1.3735863447189331
2510,1.4116142392158508
2520,1.3205478072166443
2530,1.3898975372314453
2540,1.3165821313858033
2550,1.2370246171951294
2560,1.322399115562439
2570,1.3337029218673706
2580,1.400407862663269
2590,1.292372953891754
2600,1.3648104548454285
2610,1.4378779411315918
2620,1.3356081008911134
2630,1.2642375588417054
2640,1.4323551416397096
2650,1.2999331474304199
2660,1.3407724976539612
2670,1.406114387512207
2680,1.3808382034301758
2690,1.3098721861839295
2700,1.3352607131004333
2710,1.3719987154006958
2720,1.3665549755096436
